system:index,delta_NDMI,delta_NDVI,.geo
166,-0.0529525,-0.03863311,"{""type"":""MultiPoint"",""coordinates"":[]}"
167,-0.0529525,-0.03863311,"{""type"":""MultiPoint"",""coordinates"":[]}"
168,-0.056799397,-0.048084974,"{""type"":""MultiPoint"",""coordinates"":[]}"
169,-0.05405955,-0.0468511,"{""type"":""MultiPoint"",""coordinates"":[]}"
170,-0.046594232,-0.04495102,"{""type"":""MultiPoint"",""coordinates"":[]}"
171,-0.05728957,-0.020191014,"{""type"":""MultiPoint"",""coordinates"":[]}"
172,-0.047429085,0.010901451,"{""type"":""MultiPoint"",""coordinates"":[]}"
173,-0.047429085,0.010901451,"{""type"":""MultiPoint"",""coordinates"":[]}"
174,-0.039467573,0.010842323,"{""type"":""MultiPoint"",""coordinates"":[]}"
175,-0.034826934,0.019015193,"{""type"":""MultiPoint"",""coordinates"":[]}"
176,-0.03279151,0.025960207,"{""type"":""MultiPoint"",""coordinates"":[]}"
177,-0.02915746,0.028889477,"{""type"":""MultiPoint"",""coordinates"":[]}"
178,-0.027068794,0.039091885,"{""type"":""MultiPoint"",""coordinates"":[]}"
179,-0.015856296,0.033257782,"{""type"":""MultiPoint"",""coordinates"":[]}"
180,-0.015856296,0.033257782,"{""type"":""MultiPoint"",""coordinates"":[]}"
181,-0.023393065,0.03972453,"{""type"":""MultiPoint"",""coordinates"":[]}"
182,-0.014112115,0.04104191,"{""type"":""MultiPoint"",""coordinates"":[]}"
183,-0.03076446,0.04218161,"{""type"":""MultiPoint"",""coordinates"":[]}"
184,-0.036686286,0.037925363,"{""type"":""MultiPoint"",""coordinates"":[]}"
185,-0.024133608,0.03718829,"{""type"":""MultiPoint"",""coordinates"":[]}"
186,-0.035432085,0.033545613,"{""type"":""MultiPoint"",""coordinates"":[]}"
187,-0.05292411,0.02614075,"{""type"":""MultiPoint"",""coordinates"":[]}"
188,-0.058157563,0.028387845,"{""type"":""MultiPoint"",""coordinates"":[]}"
189,-0.060092613,0.02422595,"{""type"":""MultiPoint"",""coordinates"":[]}"
190,-0.07300213,0.0094156265,"{""type"":""MultiPoint"",""coordinates"":[]}"
191,-0.07197289,0.0032132864,"{""type"":""MultiPoint"",""coordinates"":[]}"
192,0.015099317,-0.02712977,"{""type"":""MultiPoint"",""coordinates"":[]}"
193,-0.009013295,-0.033076823,"{""type"":""MultiPoint"",""coordinates"":[]}"
194,0.0056405365,-0.02206409,"{""type"":""MultiPoint"",""coordinates"":[]}"
195,-0.10128853,-0.032010913,"{""type"":""MultiPoint"",""coordinates"":[]}"
196,-0.09893966,-0.050656438,"{""type"":""MultiPoint"",""coordinates"":[]}"
197,-0.011378363,-0.04321015,"{""type"":""MultiPoint"",""coordinates"":[]}"
198,-0.08421673,-0.16192782,"{""type"":""MultiPoint"",""coordinates"":[]}"
199,-0.08421673,-0.16192782,"{""type"":""MultiPoint"",""coordinates"":[]}"
200,-0.21797419,-0.23243642,"{""type"":""MultiPoint"",""coordinates"":[]}"
201,-0.16676113,-0.18056047,"{""type"":""MultiPoint"",""coordinates"":[]}"
202,-0.17468633,-0.13798505,"{""type"":""MultiPoint"",""coordinates"":[]}"
203,-0.10039522,-0.10171515,"{""type"":""MultiPoint"",""coordinates"":[]}"
